application_id,ai_decision,customer_type,human_decision,human_rule_reasons
APP_0084,approved,non-bank,approved,
APP_0085,approved,non-bank,approved,
APP_0086,approved,non-bank,approved,
APP_0087,approved,bank,approved,
APP_0088,approved,bank,approved,
APP_0089,approved,non-bank,approved,
APP_0090,approved,bank,approved,
APP_0091,approved,non-bank,approved,
APP_0092,approved,bank,approved,
APP_0093,approved,bank,approved,
APP_0094,approved,bank,approved,
APP_0095,approved,bank,approved,
APP_0096,approved,bank,approved,
APP_0097,approved,bank,approved,
APP_0098,approved,non-bank,approved,
APP_0099,approved,non-bank,approved,
APP_0100,approved,bank,approved,
APP_0101,approved,bank,approved,
APP_0102,approved,bank,approved,
APP_0103,denied,non-bank,denied,
APP_0104,approved,bank,approved,
APP_0105,approved,bank,approved,
APP_0106,approved,bank,approved,
APP_0107,approved,bank,approved,
APP_0108,denied,non-bank,denied,
APP_0109,approved,non-bank,approved,
APP_0110,approved,bank,approved,
APP_0111,approved,bank,approved,
APP_0112,approved,non-bank,approved,
APP_0113,approved,bank,approved,
APP_0114,approved,bank,approved,
APP_0115,approved,non-bank,approved,
APP_0116,approved,bank,approved,
APP_0117,approved,bank,approved,
APP_0118,approved,bank,approved,
APP_0119,approved,bank,approved,
APP_0120,approved,bank,approved,
APP_0121,approved,bank,approved,
APP_0122,approved,bank,approved,
APP_0123,approved,non-bank,approved,
APP_0124,approved,bank,approved,
APP_0125,approved,non-bank,approved,
APP_0126,approved,bank,approved,
APP_0127,approved,bank,approved,
APP_0128,denied,non-bank,denied,
APP_0129,approved,non-bank,approved,
APP_0130,approved,bank,approved,
APP_0131,denied,non-bank,denied,
APP_0132,approved,bank,approved,
APP_0133,approved,bank,approved,
APP_0134,approved,bank,approved,
APP_0135,approved,bank,approved,
APP_0136,approved,non-bank,approved,
APP_0137,approved,bank,approved,
APP_0138,approved,bank,approved,
APP_0139,approved,bank,approved,
APP_0140,approved,non-bank,approved,
APP_0141,approved,bank,approved,
APP_0142,approved,bank,approved,
APP_0143,approved,bank,approved,
APP_0144,approved,bank,approved,
APP_0145,approved,bank,approved,
APP_0146,approved,non-bank,approved,
APP_0147,approved,bank,approved,
APP_0148,approved,bank,approved,
APP_0149,approved,bank,approved,
APP_0150,approved,non-bank,approved,
APP_0151,approved,bank,approved,
APP_0152,approved,bank,approved,
APP_0153,approved,non-bank,approved,
APP_0154,approved,bank,approved,
APP_0155,approved,non-bank,approved,
APP_0156,approved,bank,approved,
APP_0157,approved,non-bank,approved,
APP_0158,approved,bank,approved,
APP_0159,approved,bank,approved,
APP_0160,approved,bank,approved,
APP_0161,approved,non-bank,approved,
APP_0162,approved,bank,approved,
APP_0163,approved,non-bank,approved,
APP_0164,approved,non-bank,approved,
APP_0165,approved,bank,approved,
APP_0166,approved,bank,approved,
APP_0167,approved,bank,approved,
APP_0168,approved,bank,approved,
APP_0169,approved,bank,approved,
APP_0170,denied,bank,denied,
APP_0171,denied,non-bank,denied,
APP_0172,approved,bank,approved,
APP_0173,denied,non-bank,denied,
APP_0174,approved,bank,approved,
APP_0175,approved,non-bank,approved,
APP_0176,approved,non-bank,approved,
APP_0177,approved,bank,approved,
APP_0178,approved,bank,approved,
APP_0179,approved,bank,approved,
APP_0180,approved,bank,approved,
APP_0181,approved,bank,approved,
APP_0182,approved,bank,approved,
APP_0183,approved,bank,approved,
APP_0184,approved,bank,approved,
APP_0185,approved,bank,approved,
APP_0186,approved,bank,approved,
APP_0187,approved,bank,approved,
APP_0188,approved,non-bank,approved,
APP_0189,approved,bank,approved,
APP_0190,approved,non-bank,approved,
APP_0191,approved,bank,approved,
APP_0192,approved,non-bank,approved,
APP_0193,approved,non-bank,approved,
APP_0194,denied,bank,denied,
APP_0195,approved,non-bank,approved,
APP_0196,approved,non-bank,approved,
APP_0197,approved,bank,approved,
APP_0198,approved,bank,approved,
APP_0199,approved,non-bank,approved,
APP_0200,approved,bank,approved,
