application_id,income,loan_amount,collateral_type,collateral_value,customer_type,currency_code
APP_0042,24682228,65081833,Gold,87007901,Non-bank,USD
APP_0043,25808285,22238831,House,15336111,Non-bank,USD
APP_0044,19101839,18110505,House,12286098,Bank,USD
APP_0045,5645937,13898510,Land,10734777,Non-bank,USD
APP_0046,47312062,129566927,Car,116964881,Non-bank,USD
APP_0047,6372975,10527108,Gold,8395305,Bank,USD
APP_0048,54531594,32512238,House,21024238,Non-bank,USD
APP_0049,40341288,51970194,Car,51996793,Bank,USD
APP_0050,20668728,11124594,Car,9303060,Bank,USD
APP_0051,35756407,49091194,Land,49896433,Bank,USD
APP_0052,6266067,13461235,Car,17568779,Bank,USD
APP_0053,17190022,19992688,Car,17785403,Bank,USD
APP_0054,45046324,95950791,Land,61050867,Non-bank,USD
APP_0055,11570852,32614766,Car,44065294,Non-bank,USD
APP_0056,66900682,111412843,Gold,116012706,Bank,USD
APP_0057,26835281,27312248,Land,22388777,Bank,USD
APP_0058,83081041,233190670,Gold,334729252,Bank,USD
APP_0059,19424037,55642903,Gold,70203290,Non-bank,USD
APP_0060,58170390,48703981,Gold,47707184,Non-bank,USD
APP_0061,48803883,134166575,Gold,122415107,Bank,USD
APP_0062,82955418,102066099,Car,67766440,Bank,USD
APP_0063,57512256,47185275,Gold,40441889,Non-bank,USD
APP_0064,78498671,62421493,Land,77667723,Bank,USD
APP_0065,44454572,106629856,House,71236355,Bank,USD
APP_0066,23542144,16976388,House,15937944,Bank,USD
APP_0067,21087008,50774971,Car,57498307,Non-bank,USD
APP_0068,78620831,86407940,Gold,109389071,Bank,USD
APP_0069,67113914,103822505,Land,131703027,Non-bank,USD
APP_0070,49832487,42733563,House,36893897,Bank,USD
APP_0071,28618549,61005430,Gold,54680274,Bank,USD
APP_0072,39902438,65618155,Car,48663313,Non-bank,USD
APP_0073,72748702,108000931,Gold,135687947,Bank,USD
APP_0074,43500885,109260426,House,91661041,Bank,USD
APP_0075,78543845,129403951,House,133594181,Bank,USD
APP_0076,85404906,190360775,Gold,268361722,Bank,USD
APP_0077,30452221,74759370,Gold,45288184,Bank,USD
APP_0078,49693796,101236357,House,138797486,Bank,USD
APP_0079,49798577,144589034,House,183030046,Non-bank,USD
APP_0080,51152132,96022532,Gold,113367767,Non-bank,USD
APP_0081,11076378,11602852,Gold,11212642,Bank,USD
APP_0082,36435458,67576829,House,78498365,Bank,USD
APP_0083,54575264,60654536,Gold,88175755,Non-bank,USD
APP_0084,83056690,58830510,House,40343287,Non-bank,USD
APP_0085,25222043,60303514,Land,39860306,Bank,USD
APP_0086,59747489,69381405,Gold,62890589,Non-bank,USD
APP_0087,70021909,89915209,Land,62288842,Non-bank,USD
APP_0088,83567591,248267374,Gold,354024550,Bank,USD
APP_0089,19758689,29665588,Gold,38821586,Non-bank,USD
APP_0090,62315117,99908595,Car,74189772,Bank,USD
APP_0091,31583091,88479929,Car,82840592,Non-bank,USD
APP_0092,42404164,104957342,Gold,102212934,Bank,USD
APP_0093,6230330,16502307,Gold,24076546,Bank,USD
APP_0094,66391874,110933636,Gold,99429571,Bank,USD
APP_0095,7766913,8009698,Car,8267511,Bank,USD
APP_0096,36786048,24429505,Car,26287758,Non-bank,USD
APP_0097,47219656,33031804,Land,43061017,Bank,USD
APP_0098,61866619,52121010,Land,71991633,Bank,USD
APP_0099,44806565,52574782,Land,63284110,Bank,USD
APP_0100,76304149,186444218,Car,172833099,Bank,USD
APP_0101,15853677,17023916,Car,13723683,Non-bank,USD
APP_0102,27290769,42423062,House,40652662,Non-bank,USD
APP_0103,26892812,44247855,Gold,49480338,Bank,USD
APP_0104,37280880,47503855,House,61290894,Bank,USD
APP_0105,5270394,4967489,Land,7270155,Bank,USD
APP_0106,41492088,48548936,Car,67291841,Bank,USD
APP_0107,37390758,98370819,House,128767230,Bank,USD
APP_0108,54761659,163473446,House,230594626,Bank,USD
APP_0109,53949212,76968564,Gold,94397733,Bank,USD
APP_0110,28906682,47822557,Gold,69387718,Bank,USD
APP_0111,41320395,55264845,Gold,58701965,Bank,USD
APP_0112,47766894,67523126,Land,46048619,Bank,USD
APP_0113,75983699,168526809,Car,211765682,Bank,USD
APP_0114,11534745,26971876,Gold,39207130,Bank,USD
APP_0115,57401756,74197163,House,46591087,Bank,USD
APP_0116,11814182,10190325,House,11819589,Bank,USD
APP_0117,27617132,62658163,Car,54781509,Bank,USD
APP_0118,42743277,68324166,House,65848386,Bank,USD
APP_0119,73936879,206338471,House,294298279,Bank,USD
APP_0120,33626072,51223781,Gold,46150094,Bank,USD
APP_0121,47456373,27016320,Car,31426239,Non-bank,USD
APP_0122,54204315,125501776,Gold,123124631,Non-bank,USD
APP_0123,69498877,206026274,Gold,295472357,Bank,USD
APP_0124,38641151,64372469,Gold,59982816,Non-bank,USD
APP_0125,53117572,153064842,Car,105529272,Non-bank,USD
APP_0126,76301721,69165546,Gold,67581575,Bank,USD
APP_0127,42182430,43538562,Car,41997608,Bank,USD
APP_0128,84720125,114692419,Car,160207066,Bank,USD
APP_0129,38673127,58584570,Car,52624932,Non-bank,USD
APP_0130,41807003,114912629,Car,99353918,Non-bank,USD
APP_0131,6889999,20196477,House,19516427,Non-bank,USD
APP_0132,50323976,89351757,Land,109179695,Bank,USD
APP_0133,44894816,100647923,Car,98643210,Bank,USD
APP_0134,40281787,83344928,House,89166386,Bank,USD
APP_0135,58002464,153783782,Gold,190568224,Bank,USD
APP_0136,51564343,39676380,Car,24762752,Bank,USD
APP_0137,85419640,162654974,Land,117086094,Bank,USD
APP_0138,39564442,99734975,Car,124928421,Bank,USD
APP_0139,42002716,102300462,Land,144904299,Non-bank,USD
APP_0140,74032020,179057906,Land,247158004,Bank,USD
APP_0141,46279519,136663423,Gold,168981927,Bank,USD
APP_0142,26272516,14995289,Gold,22248048,Bank,USD
APP_0143,49124787,37592465,House,51412017,Bank,USD
APP_0144,48071912,42463029,House,51990772,Bank,USD
APP_0145,39730233,77561541,House,91220867,Bank,USD
APP_0146,50128015,79056551,Land,108135010,Bank,USD
APP_0147,54197636,35787974,Land,49821889,Non-bank,USD
APP_0148,87519827,104845060,Car,88765411,Non-bank,USD
APP_0149,10979807,16216083,Land,22193610,Bank,USD
APP_0150,82607654,145775913,Car,164637293,Bank,USD
APP_0151,46512625,111134811,House,66699528,Bank,USD
APP_0152,37255438,64174699,Car,49888735,Bank,USD
APP_0153,56862310,145813100,Car,189795922,Bank,USD
APP_0154,14825911,27445286,House,24919536,Bank,USD
APP_0155,68229724,95041140,Gold,129137611,Bank,USD
APP_0156,13014636,32731076,Car,37392153,Bank,USD
APP_0157,41535577,40121139,Gold,59699831,Bank,USD
APP_0158,22143855,60302645,Gold,77637774,Bank,USD
APP_0159,30738181,67117871,Gold,45891172,Non-bank,USD
APP_0160,45025080,129827257,Car,175787287,Bank,USD
APP_0161,5500652,5636009,Gold,6749238,Bank,USD
APP_0162,80534965,87127900,Car,69537690,Bank,USD
APP_0163,69300712,113749976,Car,121157826,Bank,USD
APP_0164,86460309,75383838,House,56109442,Non-bank,USD
APP_0165,11593957,6948450,Land,6501952,Non-bank,USD
APP_0166,19981365,27569693,Land,35022046,Non-bank,USD
APP_0167,46648983,110916521,Land,111807153,Bank,USD
APP_0168,77703974,211546161,Land,252863729,Non-bank,USD
APP_0169,30870693,33443068,Car,47135015,Bank,USD
APP_0170,30455709,87126450,Gold,107285121,Bank,USD
APP_0171,76469883,53383289,Land,36452833,Bank,USD
APP_0172,5128539,3568071,Gold,3465403,Bank,USD
APP_0173,85790448,194182515,House,171758230,Bank,USD
APP_0174,21145978,14157382,Land,14590694,Bank,USD
APP_0175,32104339,93957151,Gold,132213031,Bank,USD
APP_0176,32553180,38592593,House,35065626,Bank,USD
APP_0177,81310304,66821583,House,84682110,Bank,USD
APP_0178,74814664,181136488,House,185021683,Non-bank,USD
APP_0179,33689969,52425875,House,70981843,Bank,USD
APP_0180,34014660,93546725,House,75972134,Bank,USD
APP_0181,74029529,128155949,Land,137269125,Non-bank,USD
APP_0182,29043408,15101383,Gold,17647937,Bank,USD
APP_0183,72901705,66220832,Gold,62183331,Bank,USD
APP_0184,74373227,55665667,House,61630376,Bank,USD
APP_0185,60699240,57869061,Gold,50176224,Bank,USD
APP_0186,68192445,80222985,Gold,119426609,Bank,USD
APP_0187,24439793,16825479,House,20502428,Non-bank,USD
APP_0188,52799603,142417082,House,166131526,Bank,USD
APP_0189,16702329,36465059,Gold,52549532,Non-bank,USD
APP_0190,9911830,15957484,House,15903319,Bank,USD
APP_0191,41071546,112814636,Car,167320171,Bank,USD
APP_0192,30036284,60948707,Land,41506835,Bank,USD
APP_0193,49723987,109606805,Land,163247320,Bank,USD
APP_0194,79228200,180768162,Car,225548571,Non-bank,USD
APP_0195,26133624,41778778,Land,46873528,Bank,USD
APP_0196,20225774,24936571,Gold,22962539,Bank,USD
APP_0197,78808249,214113851,Gold,167603616,Bank,USD
APP_0198,7575046,10777138,Car,15996528,Bank,USD
APP_0199,54950477,87480364,Land,71007768,Non-bank,USD
APP_0200,52536222,62554019,Gold,87081256,Bank,USD
